"Book","Chapter","Verse","Strongs"
"Gen","6","6","H5162,H3068,H6213,H120,H776,H6087,H413,H3820"
"Gen","6","7","H3068,H559,H4229,H120,H1254,H6440,H127,H120,H5704,H929,H7431,H5775,H8064,H5162,H6213"
"Exo","13","17","H6547,H5971,H7971,H430,H5148,through,H1870,H776,H6430,H3588,was,H7138,H430,H559,H5971,H5162,H7200,H4421,H7725,H4714"
"Exo","32","12","H4714,H559,H559,H7451,H3318,H2026,H2022,H3615,H6440,H127,H7725,H2740,H639,H5162,H7451,H5971"
"Exo","32","14","H3068,H5162,H7451,H1696,H6213,H5971"
"Num","23","19","H410,is,H376,H3576,H1121,H120,H5162,H559,H6213,it,H1696,H6965"
"Deu","32","36","H3068,H1777,H5971,H5162,H5650,H7200,their,H3027,H235,there is,H657,H6113,H5800"
"Jdg","2","18","H3068,H6965,H8199,H3068,H8199,H3467,H3027,H341,H3117,H8199,H5162,H3068,H6440,H5009,H3905,H1766"
"Jdg","21","6","H1121,H3478,H5162,H1144,H251,H559,H259,H7626,H1438,H3478,H3117"
"Jdg","21","15","H5971,H5162,H1144,H3068,H6213,H6556,H7626,H3478"
"1Sa","15","11","H5162,H4427,H7586,to be,H4428,H7725,H310,H6965,H1697,H2734,H8050,H2199,H3068,H3915"
"1Sa","15","29","H5331,H3478,H8266,H5162,is,H120,H5162"
"1Sa","15","35","H8050,H3254,H7200,H7586,H3117,H4194,H3588,H8050,H56,H7586,H3068,H5162,H7586,H4427,H3478"
"2Sa","24","16","H4397,H7971,H3027,H3389,H7843,H3068,H5162,H7451,H559,H4397,H7843,H5971,H7227,H7503,H3027,H4397,H3068,H1637,H728,H2983"
"1Ki","8","47","Yet,H7725,H776,H7617,H7725,H3820,H2603,H776,H7617,H559,H2398,H5753,H7561"
"1Ch","21","15","H430,H7971,H4397,H3389,H7843,H7843,H3068,H7200,H5162,H7451,H559,H4397,H7843,H7227,H7503,H3027,H4397,H3068,H5975,H1637,H771,H2983"
"Job","42","6","H3988,myself,H5162,H6083,H665"
"Psa","90","13","H7725,H3068,H5162,H5650"
"Psa","106","45","H2142,H1285,H5162,H7230,H2617"
"Psa","110","4","H3068,H7650,H5162,art,H3548,H5769,H1700,H4442"
"Psa","135","14","H3068,H1777,H5971,H5162,H5650"
"Jer","4","28","H776,H56,H8064,H4605,H6937,H1696,it,H2161,it,H5162,H7725"
"Jer","8","6","H7181,H8085,but,H1696,H376,H5162,H5921,H7451,H559,H6213,H7725,H4794,H5483,H7857,H4421"
"Jer","15","6","H5203,H5002,H3068,H3212,H268,H5186,H3027,H7843,H3811,H5162"
"Jer","18","8","H1471,H1696,H7725,H7451,H5162,H7451,H2803,H6213"
"Jer","18","10","H6213,H7451,H5869,H8085,H6963,H5162,H2896,H559,H3190"
"Jer","20","16","H376,H5892,H3068,H2015,H5162,H8085,H2201,H1242,H8643,H6256,H6672"
"Jer","26","3","H8085,H7725,H376,H7451,H1870,H5162,H7451,H2803,H6213,H6440,H7455,H4611"
"Jer","26","13","H3190,H1870,H4611,H8085,H6963,H3068,H430,H3068,H5162,H7451,H1696"
"Jer","26","19","H2396,H4428,H3063,H3063,H4191,H4191,H3373,H3068,H2470,H3068,H6440,H3068,H5162,H7451,H1696,H587,H6213,H1419,H7451,H5315"
"Jer","31","19","H310,H7725,H5162,H310,H3045,H5606,my,H3409,H954,H3637,H5375,H2781,H5271"
"Jer","42","10","H7725,H3427,H776,H1129,you,H2040,H5193,you,H5428,H5162,H7451,H6213"
"Eze","14","6","H559,H1004,H3478,H559,H136,H3069,H7725,H7725,yourselves,H1544,H7725,H6440,H8441"
"Eze","18","30","H8199,H1004,H3478,H376,H1870,H5002,H136,H3069,H7725,H7725,yourselves,H6588,H5771,H4383"
"Eze","24","14","H3068,H1696,it,H935,H6213,it,H6544,H2347,H5162,H1870,H5949,H8199,H5002,H136,H3069"
"Hos","11","8","H5414,H669,how,H4042,H3478,H5414,H126,how,H7760,H6636,H3820,H2015,H5150,H3648,H3162"
"Hos","13","14","H6299,H3027,H7585,H1350,H4194,H4194,H165,H1698,H7585,H165,H6987,H5164,H5641,H5869"
"Joe","2","13","H7167,H3824,H899,H7725,H3068,H430,is,H2587,H7349,H750,H639,H7227,H2617,H5162,H7451"
"Joe","2","14","H3045,if,H7725,H5162,H7604,H1293,H310,even,H4503,H5262,H3068,H430"
"Amo","7","3","H3068,H5162,H559,H3068"
"Amo","7","6","H3068,H5162,H559,H136,H3069"
"Jon","3","9","H3045,if,H430,H7725,H5162,H7725,H2740,H639,H6"
"Jon","3","10","H430,H7200,H4639,H7725,H7451,H1870,H430,H5162,H7451,H1696,H6213,H6213,it"
"Jon","4","2","H6419,H3068,H559,H577,H3068,was,H1697,H127,H1272,H6923,H8659,H3045,art,H2587,H410,H7349,H750,H639,H7227,H2617,H5162,H7451"
"Zec","8","14","H559,H3068,H6635,H2161,H7489,H1,H7107,H559,H3068,H6635,H5162"
"Mat","3","2","G2532,G3004,G3340,G1063,G932,G3772,G1448"
"Mat","3","8","G4160,G3767,G2590,G514,G3341"
"Mat","3","11","G1473,G3303,G907,G5209,G1722,G5204,G1519,G3341,G1161,G2064,G3694,G3450,G2076,G2478,G3450,G3739,G5266,G1510,G3756,G2425,G941,G846,G907,G5209,G1722,G40,G4151,G2532,with,G4442"
"Mat","4","17","G575,G5119,G2424,G756,G2784,G2532,G3004,G3340,G1063,G932,G3772,G1448"
"Mat","9","13","G1161,G4198,G3129,G5101,that,G2076,G2309,G1656,G2532,G3756,G2378,G1063,G2064,G3756,G2064,G2564,G1342,G235,G268,G1519,G3341"
"Mat","11","20","G5119,G756,G3679,G4172,G1722,G3739,G4118,G846,G1411,G1096,G3754,G3340,G3756"
"Mat","11","21","G3759,G4671,G5523,G3759,G4671,G966,G3754,G1487,G1411,G3588,G1096,G1722,G5213,G1096,G1722,G5184,G2532,G4605,G3340,G302,G3819,G1722,G4526,G2532,G4700"
"Mat","12","41","G435,G3536,G450,G1722,G2920,G3326,G5026,G1074,G2532,G2632,G846,G3754,G3340,G1519,G2782,G2495,G2532,G2400,G4119,G2495,is,G5602"
"Mat","21","29","G1161,G611,G2036,G2309,G3756,G1161,G5305,G3338,G565"
"Mat","21","32","G1063,G2491,G2064,G4314,G5209,G1722,G3598,G1343,G2532,G4100,G846,G3756,G1161,G5057,G2532,G4204,G4100,G846,G1161,G5210,G1492,it,G3338,G3756,G5305,G4100,G846"
"Mat","27","3","G5119,G2455,G3588,G3860,G846,G1492,G3754,G2632,G3338,G654,G5144,G694,G749,G2532,G4245"
"Mar","1","4","G2491,G1096,G907,G1722,G2048,G2532,G2784,G908,G3341,G1519,G859,G266"
"Mar","1","15","G2532,G3004,G3754,G2540,G4137,G2532,G932,G2316,G1448,G3340,G2532,G4100,G1722,G2098"
"Mar","2","17","G2532,G2424,G191,it,G3004,G846,G2480,G2192,G3756,G5532,G2395,G235,G2192,G2560,G2064,G3756,G2564,G1342,G235,G268,G1519,G3341"
"Mar","6","12","G2532,G1831,G2784,G2443,G3340"
"Luk","3","3","G2532,G2064,G1519,G3956,G4066,G2446,G2784,G908,G3341,G1519,G859,G266"
"Luk","3","8","G4160,G3767,G2590,G514,G3341,G2532,G756,G3361,G3004,G1722,G1438,G2192,G11,our,G3962,G1063,G3004,G5213,G3754,G2316,G1410,G1537,G5130,G3037,G1453,G5043,G11"
"Luk","5","32","G2064,G3756,G2564,G1342,G235,G268,G1519,G3341"
"Luk","10","13","G3759,G4671,G5523,G3759,G4671,G966,G3754,G1487,G1411,G1096,G1722,G5184,G2532,G4605,G3588,G1096,G1722,G5213,G3340,G3819,G3340,G2521,G302,G1722,G4526,G2532,G4700"
"Luk","11","32","G435,G3535,G450,G1722,G2920,G3326,G5026,G1074,G2532,G2632,G846,G3754,G3340,G1519,G2782,G2495,G2532,G2400,G4119,G2495,is,G5602"
"Luk","13","3","G3004,G5213,G3780,G235,G3362,G3340,G622,G3956,G5615,G622"
"Luk","13","5","G3004,G5213,G3780,G235,G3362,G3340,G622,G3956,G3668,G622"
"Luk","15","7","G3004,G5213,G3754,G3779,G5479,G2071,G1722,G3772,G1909,G1520,G268,G3340,G2228,G1909,G1768,G1342,G3748,G2192,G5532,G3756,G3341"
"Luk","15","10","G3779,G3004,G5213,G1096,G5479,G1799,G32,G2316,G1909,G1520,G268,G3340"
"Luk","16","30","G1161,G2036,G3780,G3962,G11,G235,G1437,G5100,G4198,G4314,G846,G575,G3498,G3340"
"Luk","17","3","G4337,G1438,G1161,G1437,G4675,G80,G264,G1519,G4571,G2008,G846,G2532,G1437,G3340,G863,G846"
"Luk","17","4","G2532,G1437,G264,G1519,G4571,G2034,G2250,G2532,G2034,G2250,G1994,G1909,G4571,G3004,G3340,G863,G846"
"Luk","24","47","G2532,G3341,G2532,G859,G266,G2784,G1909,G846,G3686,G1519,G3956,G1484,G756,G575,G2419"
"Act","2","38","G1161,G4074,G5346,G4314,G846,G3340,G2532,G907,G1538,G5216,G1909,G3686,G2424,G5547,G1519,G859,G266,G2532,G2983,G1431,G40,G4151"
"Act","3","19","G3340,G3767,G2532,G1994,G1519,G5216,G266,G1813,G3704,G2540,G403,G302,G2064,G575,G4383,G2962"
"Act","5","31","G5126,G2316,G5312,G846,G1188,to be,G747,G2532,G4990,G1325,G3341,G2474,G2532,G859,G266"
"Act","8","22","G3340,G3767,G575,G5026,G4675,G2549,G2532,G1189,G2316,G1487,G686,G1963,G4675,G2588,G863,G4671"
"Act","11","18","G1161,G191,G5023,G2270,G2532,G1392,G2316,G3004,G686,G1325,G2316,G2534,G1484,G1325,G3341,G1519,G2222"
"Act","13","24","G2491,G4296,G4253,G846,G4383,G1529,G908,G3341,G3956,G2992,G2474"
"Act","17","30","G3303,G3767,G5550,G52,G2316,G5237,G3569,G3853,G3956,G444,G3837,G3340"
"Act","19","4","G1161,G2036,G3972,G2491,G3303,G907,G908,G3341,G3004,G2992,G2443,G4100,G1519,G2064,G3326,G846,G5123,G1519,G5547,G2424"
"Act","20","21","G1263,G5037,G2453,G2532,G1672,G3341,G1519,G2316,G2532,G4102,G1519,G2257,G2962,G2424,G5547"
"Act","26","20","G235,G518,G518,G4412,G1722,G1154,G2532,G2414,G5037,G1519,G3956,G5561,G2449,G2532,then,G1484,G3340,G2532,G1994,G1909,G2316,G4238,G2041,G514,G3341"
"Rom","2","4","G2228,G2706,G4149,G846,G5544,G2532,G463,G2532,G3115,G50,G3754,G5543,G2316,G71,G4571,G1519,G3341"
"Rom","11","29","G1063,G5486,G2532,G2821,G2316,are,G278"
"2Co","7","8","G3754,G1499,G3076,G5209,G3076,G1722,G1992,G3338,G3756,G3338,G1499,G3338,G1063,G991,G3754,G1565,G1992,G3076,G5209,G3076,it were,G1499,G4314,G5610"
"2Co","7","9","G3568,G5463,G3756,G3754,G3076,G235,G3754,G3076,G1519,G3341,G1063,G3076,G2596,G2316,G2443,G2210,G1537,G2257,G1722,G3367"
"2Co","7","10","G1063,G2316,G2596,G3077,G2716,G3341,G1519,G4991,G278,G1161,G3077,G2889,G2716,G2288"
"2Co","12","21","And,G3361,G2064,G3825,G3450,G2316,G5013,G3165,G4314,G5209,G2532,that,G3996,G4183,G3588,G4258,G2532,G3340,G3361,G3340,G1909,G167,G2532,G4202,G2532,G766,G3739,G4238"
"2Ti","2","25","G1722,G4236,G3811,G475,G3379,G2316,G3379,G1325,G846,G3341,G1519,G1922,G225"
"Heb","6","1","G1352,G863,G746,G3056,G5547,G5342,G1909,G5047,G3361,G2598,G3825,G2310,G3341,G575,G3498,G2041,G2532,G4102,G1909,G2316"
"Heb","6","6","G2532,G3895,G340,G3825,G1519,G3341,G388,G1438,G5207,G2316,G388,G2532,him,G3856"
"Heb","7","21","G1063,G2409,G3303,G1526,G1096,G5565,G3728,G1161,G3326,G3728,G1223,G3004,G4314,G846,G2962,G3660,G2532,G3338,G3756,G3338,G4771,art,G2409,G1519,G165,G2596,G5010,G3198"
"Heb","12","17","G1063,G2467,G3754,G2532,G3347,G2309,G2816,G2129,G593,G1063,G2147,G3756,G5117,G3341,G2539,G1567,G846,G1567,G3326,G1144"
"2Pe","3","9","G2962,G1019,G3756,G1019,G1860,G5613,G5100,G2233,G1022,G235,G3114,G1519,G2248,G3361,G1014,G5100,G622,G235,G3956,G5562,G1519,G3341"
"Rev","2","5","G3421,G3767,G4159,G1601,G2532,G3340,G2532,G4160,G4413,G2041,G1490,G2064,G4671,G5035,G2532,G2795,G4675,G3087,G1537,G846,G5117,G3362,G3340"
"Rev","2","16","G3340,G1490,G2064,G4671,G5035,G2532,G4170,G3326,G846,G1722,G4501,G3450,G4750"
"Rev","2","21","G2532,G1325,G846,G5550,G2443,G3340,G1537,G846,G4202,G2532,G3340,G3756"
"Rev","2","22","G2400,G1473,G906,G846,G1519,G2825,G2532,G3431,G3326,G846,G1519,G3173,G2347,G3362,G3340,G1537,G846,G2041"
"Rev","3","3","G3421,G3767,G4459,G2983,G2532,G191,G2532,G5083,G2532,G3340,G3362,G3767,G1127,G3362,G1127,G2240,G1909,G4571,G5613,G2812,G2532,G1097,G3364,G1097,G4169,G5610,G2240,G1909,G4571"
"Rev","3","19","G3745,G1437,G5368,G1473,G1651,G2532,G3811,G2206,G3767,G2532,G3340"
"Rev","9","20","G2532,G3062,G444,G3739,G615,G3756,G615,G1722,G5025,G4127,G3777,G3340,G3777,G1537,G2041,G846,G5495,G3363,G4352,G3363,G4352,G1140,G2532,G1497,G5552,G2532,G693,G2532,G5470,G2532,G3035,G2532,G3585,G3739,G3777,G1410,G991,G3777,G191,G3777,G4043"
"Rev","9","21","G2532,G3756,G3340,G1537,G846,G5408,G3777,G1537,G846,G5331,G3777,G1537,G846,G4202,G3777,G1537,G846,G2809"
"Rev","16","9","G2532,G444,G2739,G3173,G2738,G2532,G987,G3686,G2316,G3588,G2192,G1849,G1909,G5025,G4127,G2532,G3340,G3756,G1325,G846,G1391"
"Rev","16","11","G2532,G987,G2316,G3772,G1537,G846,G4192,G2532,G1537,G846,G1668,G2532,G3340,G3756,G1537,G846,G2041"
