"Book","Chapter","Verse","Text"
"Gen","6","6","And it repented the LORD that he had made man on the earth, and it grieved him at his heart."
"Gen","6","7","And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repenteth me that I have made them."
"Exo","13","17","And it came to pass, when Pharaoh had let the people go, that God led them not  the way of the land of the Philistines, although that  near; for God said, Lest peradventure the people repent when they see war, and they return to Egypt:"
"Exo","32","12","Wherefore should the Egyptians speak, and say, For mischief did he bring them out, to slay them in the mountains, and to consume them from the face of the earth? Turn from thy fierce wrath, and repent of this evil against thy people."
"Exo","32","14","And the LORD repented of the evil which he thought to do unto his people."
"Num","23","19","God  not a man, that he should lie; neither the son of man, that he should repent: hath he said, and shall he not do ? or hath he spoken, and shall he not make it good?"
"Deu","32","36","For the LORD shall judge his people, and repent himself for his servants, when he seeth that  power is gone, and  none shut up, or left."
"Jdg","2","18","And when the LORD raised them up judges, then the LORD was with the judge, and delivered them out of the hand of their enemies all the days of the judge: for it repented the LORD because of their groanings by reason of them that oppressed them and vexed them."
"Jdg","21","6","And the children of Israel repented them for Benjamin their brother, and said, There is one tribe cut off from Israel this day."
"Jdg","21","15","And the people repented them for Benjamin, because that the LORD had made a breach in the tribes of Israel."
"1Sa","15","11","It repenteth me that I have set up Saul  king: for he is turned back from following me, and hath not performed my commandments. And it grieved Samuel; and he cried unto the LORD all night."
"1Sa","15","29","And also the Strength of Israel will not lie nor repent: for he  not a man, that he should repent."
"1Sa","15","35","And Samuel came no more to see Saul until the day of his death: nevertheless Samuel mourned for Saul: and the LORD repented that he had made Saul king over Israel."
"2Sa","24","16","And when the angel stretched out his hand upon Jerusalem to destroy it, the LORD repented him of the evil, and said to the angel that destroyed the people, It is enough: stay now thine hand. And the angel of the LORD was by the threshingplace of Araunah the Jebusite."
"1Ki","8","47"," if they shall bethink themselves in the land whither they were carried captives, and repent, and make supplication unto thee in the land of them that carried them captives, saying, We have sinned, and have done perversely, we have committed wickedness;"
"1Ch","21","15","And God sent an angel unto Jerusalem to destroy it: and as he was destroying, the LORD beheld, and he repented him of the evil, and said to the angel that destroyed, It is enough, stay now thine hand. And the angel of the LORD stood by the threshingfloor of Ornan the Jebusite."
"Job","42","6","Wherefore I abhor , and repent in dust and ashes."
"Psa","90","13","Return, O LORD, how long? and let it repent thee concerning thy servants."
"Psa","106","45","And he remembered for them his covenant, and repented according to the multitude of his mercies."
"Psa","110","4","The LORD hath sworn, and will not repent, Thou  a priest for ever after the order of Melchizedek."
"Psa","135","14","For the LORD will judge his people, and he will repent himself concerning his servants."
"Jer","4","28","For this shall the earth mourn, and the heavens above be black: because I have spoken , I have purposed , and will not repent, neither will I turn back from it."
"Jer","8","6","I hearkened and heard,  they spake not aright: no man repented him of his wickedness, saying, What have I done? every one turned to his course, as the horse rusheth into the battle."
"Jer","15","6","Thou hast forsaken me, saith the LORD, thou art gone backward: therefore will I stretch out my hand against thee, and destroy thee; I am weary with repenting."
"Jer","18","8","If that nation, against whom I have pronounced, turn from their evil, I will repent of the evil that I thought to do unto them."
"Jer","18","10","If it do evil in my sight, that it obey not my voice, then I will repent of the good, wherewith I said I would benefit them."
"Jer","20","16","And let that man be as the cities which the LORD overthrew, and repented not: and let him hear the cry in the morning, and the shouting at noontide;"
"Jer","26","3","If so be they will hearken, and turn every man from his evil way, that I may repent me of the evil, which I purpose to do unto them because of the evil of their doings."
"Jer","26","13","Therefore now amend your ways and your doings, and obey the voice of the LORD your God; and the LORD will repent him of the evil that he hath pronounced against you."
"Jer","26","19","Did Hezekiah king of Judah and all Judah put him at all to death? did he not fear the LORD, and besought the LORD, and the LORD repented him of the evil which he had pronounced against them? Thus might we procure great evil against our souls."
"Jer","31","19","Surely after that I was turned, I repented; and after that I was instructed, I smote upon  thigh: I was ashamed, yea, even confounded, because I did bear the reproach of my youth."
"Jer","42","10","If ye will still abide in this land, then will I build you, and not pull  down, and I will plant you, and not pluck  up: for I repent me of the evil that I have done unto you."
"Eze","14","6","Therefore say unto the house of Israel, Thus saith the Lord GOD; Repent, and turn  from your idols; and turn away your faces from all your abominations."
"Eze","18","30","Therefore I will judge you, O house of Israel, every one according to his ways, saith the Lord GOD. Repent, and turn  from all your transgressions; so iniquity shall not be your ruin."
"Eze","24","14","I the LORD have spoken : it shall come to pass, and I will do ; I will not go back, neither will I spare, neither will I repent; according to thy ways, and according to thy doings, shall they judge thee, saith the Lord GOD."
"Hos","11","8","How shall I give thee up, Ephraim?  shall I deliver thee, Israel? how shall I make thee as Admah?  shall I set thee as Zeboim? mine heart is turned within me, my repentings are kindled together."
"Hos","13","14","I will ransom them from the power of the grave; I will redeem them from death: O death, I will be thy plagues; O grave, I will be thy destruction: repentance shall be hid from mine eyes."
"Joe","2","13","And rend your heart, and not your garments, and turn unto the LORD your God: for he  gracious and merciful, slow to anger, and of great kindness, and repenteth him of the evil."
"Joe","2","14","Who knoweth  he will return and repent, and leave a blessing behind him;  a meat offering and a drink offering unto the LORD your God?"
"Amo","7","3","The LORD repented for this: It shall not be, saith the LORD."
"Amo","7","6","The LORD repented for this: This also shall not be, saith the Lord GOD."
"Jon","3","9","Who can tell  God will turn and repent, and turn away from his fierce anger, that we perish not?"
"Jon","3","10","And God saw their works, that they turned from their evil way; and God repented of the evil, that he had said that he would do unto them; and he did  not."
"Jon","4","2","And he prayed unto the LORD, and said, I pray thee, O LORD,  not this my saying, when I was yet in my country? Therefore I fled before unto Tarshish: for I knew that thou  a gracious God, and merciful, slow to anger, and of great kindness, and repentest thee of the evil."
"Zec","8","14","For thus saith the LORD of hosts; As I thought to punish you, when your fathers provoked me to wrath, saith the LORD of hosts, and I repented not:"
"Mat","3","2","And saying, Repent ye: for the kingdom of heaven is at hand."
"Mat","3","8","Bring forth therefore fruits meet for repentance:"
"Mat","3","11","I indeed baptize you with water unto repentance: but he that cometh after me is mightier than I, whose shoes I am not worthy to bear: he shall baptize you with the Holy Ghost, and  fire:"
"Mat","4","17","From that time Jesus began to preach, and to say, Repent: for the kingdom of heaven is at hand."
"Mat","9","13","But go ye and learn what  meaneth, I will have mercy, and not sacrifice: for I am not come to call the righteous, but sinners to repentance."
"Mat","11","20","Then began he to upbraid the cities wherein most of his mighty works were done, because they repented not:"
"Mat","11","21","Woe unto thee, Chorazin! woe unto thee, Bethsaida! for if the mighty works, which were done in you, had been done in Tyre and Sidon, they would have repented long ago in sackcloth and ashes."
"Mat","12","41","The men of Nineveh shall rise in judgment with this generation, and shall condemn it: because they repented at the preaching of Jonas; and, behold, a greater than Jonas  here."
"Mat","21","29","He answered and said, I will not: but afterward he repented, and went."
"Mat","21","32","For John came unto you in the way of righteousness, and ye believed him not: but the publicans and the harlots believed him: and ye, when ye had seen , repented not afterward, that ye might believe him."
"Mat","27","3","Then Judas, which had betrayed him, when he saw that he was condemned, repented himself, and brought again the thirty pieces of silver to the chief priests and elders,"
"Mar","1","4","John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins."
"Mar","1","15","And saying, The time is fulfilled, and the kingdom of God is at hand: repent ye, and believe the gospel."
"Mar","2","17","When Jesus heard , he saith unto them, They that are whole have no need of the physician, but they that are sick: I came not to call the righteous, but sinners to repentance."
"Mar","6","12","And they went out, and preached that men should repent."
"Luk","3","3","And he came into all the country about Jordan, preaching the baptism of repentance for the remission of sins;"
"Luk","3","8","Bring forth therefore fruits worthy of repentance, and begin not to say within yourselves, We have Abraham to  father: for I say unto you, That God is able of these stones to raise up children unto Abraham."
"Luk","5","32","I came not to call the righteous, but sinners to repentance."
"Luk","10","13","Woe unto thee, Chorazin! woe unto thee, Bethsaida! for if the mighty works had been done in Tyre and Sidon, which have been done in you, they had a great while ago repented, sitting in sackcloth and ashes."
"Luk","11","32","The men of Nineve shall rise up in the judgment with this generation, and shall condemn it: for they repented at the preaching of Jonas; and, behold, a greater than Jonas  here."
"Luk","13","3","I tell you, Nay: but, except ye repent, ye shall all likewise perish."
"Luk","13","5","I tell you, Nay: but, except ye repent, ye shall all likewise perish."
"Luk","15","7","I say unto you, that likewise joy shall be in heaven over one sinner that repenteth, more than over ninety and nine just persons, which need no repentance."
"Luk","15","10","Likewise, I say unto you, there is joy in the presence of the angels of God over one sinner that repenteth."
"Luk","16","30","And he said, Nay, father Abraham: but if one went unto them from the dead, they will repent."
"Luk","17","3","Take heed to yourselves: If thy brother trespass against thee, rebuke him; and if he repent, forgive him."
"Luk","17","4","And if he trespass against thee seven times in a day, and seven times in a day turn again to thee, saying, I repent; thou shalt forgive him."
"Luk","24","47","And that repentance and remission of sins should be preached in his name among all nations, beginning at Jerusalem."
"Act","2","38","Then Peter said unto them, Repent, and be baptized every one of you in the name of Jesus Christ for the remission of sins, and ye shall receive the gift of the Holy Ghost."
"Act","3","19","Repent ye therefore, and be converted, that your sins may be blotted out, when the times of refreshing shall come from the presence of the Lord;"
"Act","5","31","Him hath God exalted with his right hand  a Prince and a Saviour, for to give repentance to Israel, and forgiveness of sins."
"Act","8","22","Repent therefore of this thy wickedness, and pray God, if perhaps the thought of thine heart may be forgiven thee."
"Act","11","18","When they heard these things, they held their peace, and glorified God, saying, Then hath God also to the Gentiles granted repentance unto life."
"Act","13","24","When John had first preached before his coming the baptism of repentance to all the people of Israel."
"Act","17","30","And the times of this ignorance God winked at; but now commandeth all men every where to repent:"
"Act","19","4","Then said Paul, John verily baptized with the baptism of repentance, saying unto the people, that they should believe on him which should come after him, that is, on Christ Jesus."
"Act","20","21","Testifying both to the Jews, and also to the Greeks, repentance toward God, and faith toward our Lord Jesus Christ."
"Act","26","20","But shewed first unto them of Damascus, and at Jerusalem, and throughout all the coasts of Judaea, and  to the Gentiles, that they should repent and turn to God, and do works meet for repentance."
"Rom","2","4","Or despisest thou the riches of his goodness and forbearance and longsuffering; not knowing that the goodness of God leadeth thee to repentance?"
"Rom","11","29","For the gifts and calling of God  without repentance."
"2Co","7","8","For though I made you sorry with a letter, I do not repent, though I did repent: for I perceive that the same epistle hath made you sorry, though  but for a season."
"2Co","7","9","Now I rejoice, not that ye were made sorry, but that ye sorrowed to repentance: for ye were made sorry after a godly manner, that ye might receive damage by us in nothing."
"2Co","7","10","For godly sorrow worketh repentance to salvation not to be repented of: but the sorrow of the world worketh death."
"2Co","12","21"," lest, when I come again, my God will humble me among you, and  I shall bewail many which have sinned already, and have not repented of the uncleanness and fornication and lasciviousness which they have committed."
"2Ti","2","25","In meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth;"
"Heb","6","1","Therefore leaving the principles of the doctrine of Christ, let us go on unto perfection; not laying again the foundation of repentance from dead works, and of faith toward God,"
"Heb","6","6","If they shall fall away, to renew them again unto repentance; seeing they crucify to themselves the Son of God afresh, and put  to an open shame."
"Heb","7","21","(For those priests were made without an oath; but this with an oath by him that said unto him, The Lord sware and will not repent, Thou  a priest for ever after the order of Melchisedec:)"
"Heb","12","17","For ye know how that afterward, when he would have inherited the blessing, he was rejected: for he found no place of repentance, though he sought it carefully with tears."
"2Pe","3","9","The Lord is not slack concerning his promise, as some men count slackness; but is longsuffering to us-ward, not willing that any should perish, but that all should come to repentance."
"Rev","2","5","Remember therefore from whence thou art fallen, and repent, and do the first works; or else I will come unto thee quickly, and will remove thy candlestick out of his place, except thou repent."
"Rev","2","16","Repent; or else I will come unto thee quickly, and will fight against them with the sword of my mouth."
"Rev","2","21","And I gave her space to repent of her fornication; and she repented not."
"Rev","2","22","Behold, I will cast her into a bed, and them that commit adultery with her into great tribulation, except they repent of their deeds."
"Rev","3","3","Remember therefore how thou hast received and heard, and hold fast, and repent. If therefore thou shalt not watch, I will come on thee as a thief, and thou shalt not know what hour I will come upon thee."
"Rev","3","19","As many as I love, I rebuke and chasten: be zealous therefore, and repent."
"Rev","9","20","And the rest of the men which were not killed by these plagues yet repented not of the works of their hands, that they should not worship devils, and idols of gold, and silver, and brass, and stone, and of wood: which neither can see, nor hear, nor walk:"
"Rev","9","21","Neither repented they of their murders, nor of their sorceries, nor of their fornication, nor of their thefts."
"Rev","16","9","And men were scorched with great heat, and blasphemed the name of God, which hath power over these plagues: and they repented not to give him glory."
"Rev","16","11","And blasphemed the God of heaven because of their pains and their sores, and repented not of their deeds."